task cope subject region zscore_sc
tens cope1 sub-DMAim1HC009 C6_left_sc_gm_mask 2.935432
tens cope1 sub-DMAim1HC009 C6_right_sc_gm_mask 2.914834
tens cope1 sub-DMAim1HC009 C7_left_sc_gm_mask 2.643743
tens cope1 sub-DMAim1HC009 C7_right_sc_gm_mask 2.520866
tens cope1 sub-DMAim1HC009 C8_left_sc_gm_mask 3.185206
tens cope1 sub-DMAim1HC009 C8_right_sc_gm_mask 3.149843
tens cope1 sub-DMAim1HC045 left_sc_gm_mask 3.076810
tens cope1 sub-DMAim1HC045 right_sc_gm_mask 2.979370
tens cope1 sub-DMAim1HC045 left_sc_mask 3.063754
tens cope1 sub-DMAim1HC045 right_sc_mask 3.010974
tens cope1 sub-DMAim1HC045 C6_left_sc_gm_mask 3.169233
tens cope1 sub-DMAim1HC045 C6_right_sc_gm_mask 2.758976
tens cope1 sub-DMAim1HC045 C7_left_sc_gm_mask 3.210387
tens cope1 sub-DMAim1HC045 C7_right_sc_gm_mask 3.103876
tens cope1 sub-DMAim1HC045 C8_left_sc_gm_mask 2.606494
tens cope1 sub-DMAim1HC045 C8_right_sc_gm_mask 3.018520
tens cope1 sub-DMAim1HC002 left_sc_gm_mask 2.708514
tens cope1 sub-DMAim1HC002 right_sc_gm_mask 2.654467
tens cope1 sub-DMAim1HC002 left_sc_mask 3.121813
tens cope1 sub-DMAim1HC002 right_sc_mask 2.690360
tens cope1 sub-DMAim1HC002 C6_left_sc_gm_mask 2.873174
tens cope1 sub-DMAim1HC002 C6_right_sc_gm_mask 2.846489
tens cope1 sub-DMAim1HC002 C7_left_sc_gm_mask 2.298310
tens cope1 sub-DMAim1HC002 C7_right_sc_gm_mask 2.857748
tens cope1 sub-DMAim1HC002 C8_left_sc_gm_mask 2.097283
tens cope1 sub-DMAim1HC002 C8_right_sc_gm_mask 2.319110
tens cope1 sub-DMAim1HC047 left_sc_gm_mask 2.787435
tens cope1 sub-DMAim1HC047 right_sc_gm_mask 2.784050
tens cope1 sub-DMAim1HC047 left_sc_mask 2.826203
tens cope1 sub-DMAim1HC047 right_sc_mask 2.881387
tens cope1 sub-DMAim1HC047 C6_left_sc_gm_mask 2.438705
tens cope1 sub-DMAim1HC047 C6_right_sc_gm_mask 2.655456
tens cope1 sub-DMAim1HC047 C7_left_sc_gm_mask 2.408503
tens cope1 sub-DMAim1HC047 C7_right_sc_gm_mask 2.214719
tens cope1 sub-DMAim1HC047 C8_left_sc_gm_mask 2.959328
tens cope1 sub-DMAim1HC047 C8_right_sc_gm_mask 2.091460
tens cope1 sub-DMAim1HC029 left_sc_gm_mask 2.646756
tens cope1 sub-DMAim1HC029 right_sc_gm_mask 3.501467
tens cope1 sub-DMAim1HC029 left_sc_mask 2.883287
tens cope1 sub-DMAim1HC029 right_sc_mask 3.201530
tens cope1 sub-DMAim1HC029 C6_left_sc_gm_mask 2.662856
tens cope1 sub-DMAim1HC029 C6_right_sc_gm_mask 3.865477
tens cope1 sub-DMAim1HC029 C7_left_sc_gm_mask 1.933238
tens cope1 sub-DMAim1HC029 C7_right_sc_gm_mask 2.694923
tens cope1 sub-DMAim1HC029 C8_left_sc_gm_mask 3.063812
tens cope1 sub-DMAim1HC029 C8_right_sc_gm_mask 3.218736
tens cope1 sub-DMAim1HC036 left_sc_gm_mask 3.129758
tens cope1 sub-DMAim1HC036 right_sc_gm_mask 2.988456
tens cope1 sub-DMAim1HC036 left_sc_mask 2.955375
tens cope1 sub-DMAim1HC036 right_sc_mask 3.058022
tens cope1 sub-DMAim1HC036 C6_left_sc_gm_mask 2.796637
tens cope1 sub-DMAim1HC036 C6_right_sc_gm_mask 2.753215
tens cope1 sub-DMAim1HC036 C7_left_sc_gm_mask 3.031114
tens cope1 sub-DMAim1HC036 C7_right_sc_gm_mask 3.591989
tens cope1 sub-DMAim1HC036 C8_left_sc_gm_mask 3.277786
tens cope1 sub-DMAim1HC036 C8_right_sc_gm_mask 2.485851
tens cope1 sub-DMAim1HC046 left_sc_gm_mask 2.562648
tens cope1 sub-DMAim1HC046 right_sc_gm_mask 2.788462
tens cope1 sub-DMAim1HC046 left_sc_mask 2.798900
tens cope1 sub-DMAim1HC046 right_sc_mask 2.958580
tens cope1 sub-DMAim1HC046 C6_left_sc_gm_mask 2.168671
tens cope1 sub-DMAim1HC046 C6_right_sc_gm_mask 2.078216
tens cope1 sub-DMAim1HC046 C7_left_sc_gm_mask 2.489540
tens cope1 sub-DMAim1HC046 C7_right_sc_gm_mask 2.656706
tens cope1 sub-DMAim1HC046 C8_left_sc_gm_mask 2.763398
tens cope1 sub-DMAim1HC046 C8_right_sc_gm_mask 3.001790
tens cope1 sub-DMAim1HC042 left_sc_gm_mask 2.928832
tens cope1 sub-DMAim1HC042 right_sc_gm_mask 2.848713
tens cope1 sub-DMAim1HC042 left_sc_mask 2.869312
tens cope1 sub-DMAim1HC042 right_sc_mask 2.854229
tens cope1 sub-DMAim1HC042 C6_left_sc_gm_mask 3.253394
tens cope1 sub-DMAim1HC042 C6_right_sc_gm_mask 3.058647
tens cope1 sub-DMAim1HC042 C7_left_sc_gm_mask 2.988234
tens cope1 sub-DMAim1HC042 C7_right_sc_gm_mask 2.399252
tens cope1 sub-DMAim1HC042 C8_left_sc_gm_mask 2.562823
tens cope1 sub-DMAim1HC042 C8_right_sc_gm_mask 2.697885
tens cope1 sub-DMAim1HC003 left_sc_gm_mask 2.525990
tens cope1 sub-DMAim1HC003 right_sc_gm_mask 2.952641
tens cope1 sub-DMAim1HC003 left_sc_mask 2.569267
tens cope1 sub-DMAim1HC003 right_sc_mask 2.740188
tens cope1 sub-DMAim1HC003 C6_left_sc_gm_mask 2.596853
tens cope1 sub-DMAim1HC003 C6_right_sc_gm_mask 2.820399
tens cope1 sub-DMAim1HC003 C7_left_sc_gm_mask 2.364113
tens cope1 sub-DMAim1HC003 C7_right_sc_gm_mask 2.149232
tens cope1 sub-DMAim1HC003 C8_left_sc_gm_mask 2.180760
tens cope1 sub-DMAim1HC003 C8_right_sc_gm_mask 2.584444
tens cope1 sub-DMAim1HC053 left_sc_gm_mask 2.819879
tens cope1 sub-DMAim1HC053 right_sc_gm_mask 2.637235
tens cope1 sub-DMAim1HC053 left_sc_mask 2.941628
tens cope1 sub-DMAim1HC053 right_sc_mask 3.166280
tens cope1 sub-DMAim1HC053 C6_left_sc_gm_mask 3.065456
tens cope1 sub-DMAim1HC053 C6_right_sc_gm_mask 2.575771
tens cope1 sub-DMAim1HC053 C7_left_sc_gm_mask 2.711503
tens cope1 sub-DMAim1HC053 C7_right_sc_gm_mask 2.237416
tens cope1 sub-DMAim1HC053 C8_left_sc_gm_mask 2.192483
tens cope1 sub-DMAim1HC053 C8_right_sc_gm_mask 2.563722
tens cope1 sub-DMAim1HC052 left_sc_gm_mask 2.837783
tens cope1 sub-DMAim1HC052 right_sc_gm_mask 3.460910
tens cope1 sub-DMAim1HC052 left_sc_mask 2.827408
tens cope1 sub-DMAim1HC052 right_sc_mask 3.021770
tens cope1 sub-DMAim1HC052 C6_left_sc_gm_mask 2.930028
tens cope1 sub-DMAim1HC052 C6_right_sc_gm_mask 2.731070
tens cope1 sub-DMAim1HC052 C7_left_sc_gm_mask 2.297825
tens cope1 sub-DMAim1HC052 C7_right_sc_gm_mask 2.831425
tens cope1 sub-DMAim1HC052 C8_left_sc_gm_mask 3.004878
tens cope1 sub-DMAim1HC052 C8_right_sc_gm_mask 4.039304
tens cope1 sub-DMAim1HC051 left_sc_gm_mask 2.651873
tens cope1 sub-DMAim1HC051 right_sc_gm_mask 2.876956
tens cope1 sub-DMAim1HC051 left_sc_mask 2.729578
tens cope1 sub-DMAim1HC051 right_sc_mask 2.866542
tens cope1 sub-DMAim1HC051 C6_left_sc_gm_mask 2.836022
tens cope1 sub-DMAim1HC051 C6_right_sc_gm_mask 2.953165
tens cope1 sub-DMAim1HC051 C7_left_sc_gm_mask 2.605388
tens cope1 sub-DMAim1HC051 C7_right_sc_gm_mask 2.917739
tens cope1 sub-DMAim1HC051 C8_left_sc_gm_mask 2.691075
tens cope1 sub-DMAim1HC051 C8_right_sc_gm_mask 3.149923
tens cope1 sub-DMAim1HC054 left_sc_gm_mask 2.780577
tens cope1 sub-DMAim1HC054 right_sc_gm_mask 2.971925
tens cope1 sub-DMAim1HC054 left_sc_mask 2.791390
tens cope1 sub-DMAim1HC054 right_sc_mask 2.999784
tens cope1 sub-DMAim1HC054 C6_left_sc_gm_mask 2.929945
tens cope1 sub-DMAim1HC054 C6_right_sc_gm_mask 2.605430
tens cope1 sub-DMAim1HC054 C7_left_sc_gm_mask 2.869782
tens cope1 sub-DMAim1HC054 C7_right_sc_gm_mask 3.107438
tens cope1 sub-DMAim1HC054 C8_left_sc_gm_mask 2.653808
tens cope1 sub-DMAim1HC054 C8_right_sc_gm_mask 2.883628
tens cope1 sub-DMAim1HC013 left_sc_gm_mask 3.788050
tens cope1 sub-DMAim1HC013 right_sc_gm_mask 3.390929
tens cope1 sub-DMAim1HC013 left_sc_mask 3.445150
tens cope1 sub-DMAim1HC013 right_sc_mask 3.181360
tens cope1 sub-DMAim1HC013 C6_left_sc_gm_mask 2.733475
tens cope1 sub-DMAim1HC013 C6_right_sc_gm_mask 2.420692
